NOREN_ORD_NUM,EXCH_SEG,EXT_RMKS,OMS_STATUS,OMS_LATENCY,EXCH_STATUS,OMS_EXCH_CONFIRMATION,OMSUPDATETIME,EXCHUPDATETIME
20260608001782,NSE,L043321890,65,2490.86,48,5255.34,1780889462,1780889462
20260608001783,MCX,L637940252f51,65,3056.4,48,2005354.07,1780889518,1780889520
20260608001784,MCX,L161849531acfd,65,1574.1,48,2002657.95,1780889505,1780889507
20260608001785,NFO,L19283274eb35,65,1925.54,,0,1780889484,0
20260608001786,NFO,L139537622b8b,48,2371.91,48,1000754.55,1780889561,1780889562
20260608001787,NSE,L12269169748f,65,2967.78,48,2002549.26,1780889602,1780889604
20260608001788,NFO,L6270482ed4a92,56,3312.54,48,4004412.4,1780889568,1780889572
20260608001789,BFO,L0154303f171cc,56,1809.63,48,1006381.52,1780889583,1780889584
20260608001790,BFO,L3834657731089,65,1355.02,48,1000326.17,1780889440,1780889441
20260608001791,NFO,L1834738be9,56,1416.95,48,1004844.68,1780889615,1780889616
20260608001792,NFO,L6670106c138,56,1774.55,,0,1780889513,0
20260608001793,NSE,L7810801273,48,1809.97,48,3005745.31,1780889420,1780889423
20260608001794,BFO,L4687234f98,45,3314.59,48,4003924.11,1780889415,1780889419
20260608001795,NSE,L81219131e399,48,3349.82,48,2001570.67,1780889586,1780889588
20260608001796,NFO,L346247509,65,1809.96,,0,1780889435,0
20260608001797,NFO,L13542789fa0,45,1808.27,48,1006505.93,1780889572,1780889573
20260608001798,MCX,L244935384e0,48,2973.57,,0,1780889471,0
20260608001799,NFO,L2786801fb,56,2470.81,48,4003194.46,1780889540,1780889544
20260608001800,NSE,L4505331ce69,56,3039.74,,0,1780889487,0
20260608001801,BSE,L6025634c1d,48,2004.21,48,3006007.86,1780889462,1780889465
20260608001802,BSE,L303654158ad,45,1610.71,48,2007030.25,1780889410,1780889412
20260608001803,NFO,L0196556f1e306,56,2727.75,,0,1780889506,0
20260608001804,NFO,L95148466426,48,2508.94,48,4003023.74,1780889596,1780889600
20260608001805,NSE,L44369957a8cf,56,2726.86,,0,1780889570,0
20260608001806,MCX,L51343320f,65,1647.2,48,4005113.75,1780889529,1780889533
